Crosswalk_ID,Record_Type,Source_Family,Requirement_or_Guidance_ID,Official_URL,Checked_Date,Current_Status,Audience,Lens,Applicability_Status,Applicability_Owner,Report_Location,Claim_IDs,Metric_IDs,Evidence_Status,Gap,Action_Owner,Due_Date
XW-001,REFERENCE,GRI Universal Standards,GRI 2 General Disclosures,https://www.globalreporting.org/standards/,,USE LAB 2 CHECK,Broad report users,Impact,,,,,,,,,
XW-002,REFERENCE,GRI Material Topics,GRI 3-1; 3-2; 3-3,https://www.globalreporting.org/publications/documents/english/gri-3-material-topics-2021/,,USE LAB 2 CHECK,Broad report users,Impact,,,,,,,,,
XW-003,REFERENCE,GRI Topic Standards,Relevant current Topic Standards,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,,USE LAB 2 CHECK,Broad report users,Impact,,,,,,,,,
XW-004,REFERENCE,ISSB,IFRS S1,https://www.ifrs.org/supporting-implementation/supporting-materials-for-ifrs-sustainability-disclosure-standards/ifrs-s1/,,USE LAB 2 CHECK,Primary users of general purpose financial reports,Investor,,,,,,,,,
XW-005,REFERENCE,ISSB,IFRS S2,https://www.ifrs.org/sustainability/knowledge-hub/introduction-to-issb-and-ifrs-sustainability-disclosure-standards/,,USE LAB 2 CHECK,Primary users of general purpose financial reports,Investor,,,,,,,,,
XW-006,REFERENCE,SASB Standards,Relevant industry-based topics and metrics,https://www.ifrs.org/issued-standards/sasb-standards/,,USE LAB 2 CHECK,Investors,Investor,,,,,,,,,
XW-007,REFERENCE,TCFD,Legacy bridge incorporated into IFRS S2,https://www.ifrs.org/sustainability/tcfd/,,USE LAB 2 CHECK,Investors,Guidance bridge,,,,,,,,,
XW-008,REFERENCE,Singapore Exchange,Rule 711B,https://rulebook.sgx.com/rulebook/sustainability-report,,USE LAB 2 CHECK,SGX issuers and report users,Jurisdiction-specific,,,,,,,,,
XW-009,REFERENCE,Singapore requirements,Requirements and timeline,https://www.acra.gov.sg/regulations/sustainability-reporting/requirements-timeline/,,USE LAB 2 CHECK,In-scope Singapore entities and report users,Jurisdiction-specific,,,,,,,,,
XW-010,ACTIVE,GRI Universal Standards,GRI 2 reporting-basis candidate mapping,https://www.globalreporting.org/standards/,,VERIFY REQUIREMENT,Broad report users,Impact,PENDING OWNER CONFIRMATION,Reporting standards owner,Reporting basis,,,PARTIAL,Confirm exact requirement and evidence,Reporting standards owner,TBD
XW-011,ACTIVE,GRI Topic Standards,Current energy and emissions candidate disclosures,https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/,,VERIFY REQUIREMENT,Broad report users,Impact,PENDING INTERPRETATION,Reporting standards owner,Method,,,PARTIAL,Confirm current Topic Standard IDs,Reporting standards owner,TBD
XW-012,ACTIVE,ISSB,IFRS S2 climate metrics candidate mapping,https://www.ifrs.org/sustainability/knowledge-hub/introduction-to-issb-and-ifrs-sustainability-disclosure-standards/,,VERIFY REQUIREMENT,Primary users of general purpose financial reports,Investor,PENDING OWNER CONFIRMATION,Reporting standards owner,FY2025 Scope 1 result,,CALC-FY2025,PARTIAL,Confirm applicability and claim link,Reporting standards owner,TBD
XW-013,ACTIVE,ISSB,IFRS S2 climate metrics candidate mapping,https://www.ifrs.org/sustainability/knowledge-hub/introduction-to-issb-and-ifrs-sustainability-disclosure-standards/,,VERIFY REQUIREMENT,Primary users of general purpose financial reports,Investor,PENDING OWNER CONFIRMATION,Reporting standards owner,FY2025 Scope 2 result,,CALC-FY2025,PARTIAL,Confirm applicability and claim link,Reporting standards owner,TBD
XW-014,ACTIVE,GRI Material Topics,GRI 3 material-topic process candidate mapping,https://www.globalreporting.org/publications/documents/english/gri-3-material-topics-2021/,,VERIFY REQUIREMENT,Broad report users,Impact,PENDING INTERPRETATION,Reporting standards owner,Material-topic process,,MAT-GAP-01,PARTIAL,Confirm process evidence,Reporting standards owner,TBD
XW-015,ACTIVE,ISSB,IFRS S1 governance candidate mapping,https://www.ifrs.org/supporting-implementation/supporting-materials-for-ifrs-sustainability-disclosure-standards/ifrs-s1/,,VERIFY REQUIREMENT,Primary users of general purpose financial reports,Investor,PENDING OWNER CONFIRMATION,Reporting standards owner,Actions and governance,,,PARTIAL,Confirm governance evidence and applicability,Reporting standards owner,TBD
XW-016,ACTIVE,ISSB,IFRS S1 limitations and judgements candidate mapping,https://www.ifrs.org/supporting-implementation/supporting-materials-for-ifrs-sustainability-disclosure-standards/ifrs-s1/,,VERIFY REQUIREMENT,Primary users of general purpose financial reports,Investor,PENDING OWNER CONFIRMATION,Reporting standards owner,Limitations,,,PARTIAL,Confirm exact requirement and claim link,Reporting standards owner,TBD
